dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001596.jpg,0.25545478,0.38999778,0.3724051,0.5424361,0.5186596,0.35651454,True
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001599.jpg,0.099001735,0.10172576,0.17319599,0.08569558,0.14044695,0.11519565,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001607.jpg,0.103723705,0.09481272,0.10568508,0.111265585,0.1125353,0.07917604,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001624.jpg,0.1626885,0.20375513,0.26386517,0.17119269,0.22534636,0.19882563,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001626.jpg,0.42874342,0.492984,0.5332671,0.4829567,0.5499073,0.42290327,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001628.jpg,0.15809116,0.09040661,0.19067582,0.11708833,0.14543869,0.1125164,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001629.jpg,0.2929036,0.3369704,0.4005477,0.26221448,0.38076618,0.4825001,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001630.jpg,0.3235641,0.39183432,0.39413685,0.30711424,0.37540293,0.35901976,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001636.jpg,0.1541025,0.12533562,0.23205538,0.103763334,0.2583042,0.3385667,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001637.jpg,0.037346177,0.14118773,0.10296521,0.11995034,0.14487399,0.42815882,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001639.jpg,0.08148563,0.20769449,0.1303962,0.14027815,0.13145553,0.18038037,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001649.jpg,0.07987179,0.06474366,0.09185727,0.10434964,0.11609889,0.061524406,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001650.jpg,0.34283748,0.46336848,0.45966777,0.6197191,0.59435785,0.38889763,True
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001652.jpg,0.2310893,0.2785318,0.32186824,0.23796017,0.3144003,0.5301957,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001655.jpg,0.20490801,0.28223252,0.3442021,0.3014593,0.3181197,0.3179786,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001657.jpg,0.32936487,0.29249197,0.36355162,0.34240526,0.42725164,0.3019562,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001659.jpg,0.28799474,0.37501925,0.44570172,0.3292194,0.40967995,0.2702695,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001661.jpg,0.19535238,0.19006267,0.26755393,0.17960177,0.2369953,0.20438205,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001670.jpg,0.22292745,0.21884319,0.30268312,0.20185918,0.25870895,0.47274882,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001671.jpg,0.17805082,0.19251812,0.25255898,0.18312685,0.2596736,0.17874151,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001679.jpg,0.37353802,0.33447576,0.4193082,0.38086206,0.4510525,0.32689613,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001697.jpg,0.21822295,0.25033268,0.34804958,0.2402874,0.41175783,0.31131253,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001700.jpg,0.25461578,0.36011487,0.34488595,0.3910249,0.39557907,0.29562646,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001702.jpg,0.37606335,0.4564883,0.501148,0.398939,0.4808681,0.3888268,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001703.jpg,0.26460373,0.22596392,0.3367288,0.28710574,0.39739645,0.23056407,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001704.jpg,0.27418458,0.26695254,0.36070243,0.29428524,0.4137728,0.3635196,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001720.jpg,0.1011727,0.12982702,0.1253981,0.13858059,0.15347287,0.5143314,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001726.jpg,0.23439722,0.34729165,0.2858212,0.38446766,0.37207794,0.31085616,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001740.jpg,0.14855826,0.22135109,0.25347805,0.41497982,0.37582883,0.19665134,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001746.jpg,0.18749604,0.15871581,0.22834761,0.14592609,0.19860943,0.10966687,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001751.jpg,0.27580708,0.23941806,0.44574752,0.20034397,0.29161566,0.28835595,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\false_sougou__001758.jpg,0.12315482,0.19629458,0.16214289,0.14515491,0.14731291,0.1159288,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000010.jpg,0.30782843,0.30925548,0.36960724,0.37036586,0.4614135,0.2933572,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000013.jpg,0.28209642,0.3972861,0.38847992,0.3804942,0.42330366,0.43285608,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000018.jpg,0.39016157,0.45707604,0.49015087,0.40824953,0.49932587,0.47591627,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000023.jpg,0.3779778,0.44807693,0.4995945,0.5549762,0.62527645,0.3649099,True
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000025.jpg,0.3051774,0.34090358,0.3171075,0.32770503,0.3875513,0.33990934,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000027.jpg,0.3816691,0.40643513,0.4833885,0.53038144,0.53497523,0.3856272,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000039.jpg,0.36326173,0.41404235,0.45199814,0.31757286,0.42220512,0.42878044,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000042.jpg,0.19276053,0.23697205,0.30614603,0.28813773,0.36364973,0.70412767,True
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000046.jpg,0.28723082,0.29511568,0.40121496,0.23516993,0.31844074,0.26494682,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000048.jpg,0.28796607,0.37842306,0.51072514,0.37693232,0.42683816,0.3987324,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000052.jpg,0.35357332,0.39508146,0.48186073,0.5841885,0.5907319,0.385893,True
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000054.jpg,0.24055384,0.38296843,0.36523876,0.4438872,0.4709748,0.29995662,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000056.jpg,0.2937402,0.33649182,0.3153051,0.41174725,0.4358783,0.30690002,False
dataset\1·ïÎ²Ïº_È¥·Ç²Ë\true_bing__000062.jpg,0.3268779,0.48810834,0.41627362,0.42740244,0.5185561,0.41746518,False
